,id,Tweet,tag,Classification,Subjectivity,Polarity,Analysis
11,1.54e+18,"['funziona', 'perfettamente', 'siete', 'coglioni', 'che', 'non', 'sanno', 'come', 'funziona', 'web', '2', 'e', 'protezione', 'per', 'DDoS', 'httpstcoi6QaPIWSAG']",DDoS,2,0.0,0.0,Neutral
12,1.54e+18,"['cube', 'Putins', 'speech', 'International', 'Economic', 'Forum', 'delayed', '70', 'minutes', 'due', 'DDoS', 'attack', 'wonder', 'happened😂…']",DDoS,1,0.19166666666666665,0.025000000000000005,Positive
13,1.54e+18,"['Nokia', 'Botnet', 'DDoS', 'attacks', 'rise', 'httpstcocdHx8wystC']",DDoS,1,0.0,0.0,Neutral
14,1.54e+18,"['VaultSecurity', '33yearold', 'Matthew', 'Gatrel', 'St', 'Charles', 'Illinois', 'ran', 'criminal', 'operation', 'launched', 'Distributed', 'DenialofServ…']",DDoS,1,0.55,-0.4,Negative
15,1.54e+18,"['someone', 'ddos', 'get', 'hit', 'negative', 'points', 'love', 'see']",DDoS,1,0.5,0.1,Positive
16,1.54e+18,"['⚡️', 'President', 'Russian', 'Federation', 'decided', 'postpone', 'speech', 'plenary', 'session', 'SPIEF', 'hou…']",DDoS,1,0.0,0.0,Neutral
17,1.54e+18,"['Выступление', 'Путина', 'на', 'ПМЭФ', 'началось', 'с', 'более', 'чем', 'полуторачасовым', 'опозданием', '–', 'организаторы', 'объяснили', 'это', 'ddosатакой', 'https…']",DDoS,2,0.0,0.0,Neutral
18,1.54e+18,"['🇺🇦ІТармія', 'натякнула', 'чиїх', 'справа', 'рук', 'кібератака', 'на', 'петербурзький', 'форум😉', 'Виступ', 'хуйла', 'довелося', 'перенести', 'на', 'годину', 'через', 'хакерську', 'атаку', 'Як', 'повідомляють🇷🇺ЗМІ', 'DDosатака', 'почалася', 'з', 'вчора', 'А', '🇺🇦ITармія', 'прокоментувала', 'Сьогодні', 'ви', 'дуже', 'добре', 'попрацювали', 'httpstcoZIAV1pz0vr']",DDoS,2,0.0,0.0,Neutral
19,1.54e+18,"['using', 'Ukrainian', 'Telegram', 'bot', 'launch', 'DDOS', 'attacks', 'Russia']",DDoS,2,0.0,0.0,Neutral
20,1.54e+18,"['SaziumR', '不正行為', 'DDOS攻撃', '不審者', '統合失調症', '置石', '独裁', '誤訳', '割れ厨']",DDoS,2,0.0,0.0,Neutral
21,1.54e+18,"['Jutilise', 'maintenant', 'le', 'bot', 'ukrainien', 'Telegram', 'pour', 'lancer', 'des', 'attaques', 'DDOS', 'sur', 'la', 'Russie', '👍👏💪😈', 'httpstcopimsvjgfIN']",DDoS,2,0.0,0.0,Neutral
22,1.54e+18,"['Since', 'yesterday', 'started', 'massive', 'DDoS', 'attacks', 'Internet', 'resource', 'accreditation', 'system', 'St…']",DDoS,2,1.0,0.0,Neutral
23,1.54e+18,"['ZeroTrust', 'Architecture', 'ZTA', 'DDoS', 'mitigation', 'Microsegmentation', '3️⃣', '17', 'Network', 'Security', 'concepts', 'acronyms', 'need', 'know', 'Find', '14', '➡', 'httpstcood5iyiYY3a', 'Gartner', 'GartnerSEC', 'Netw…httpstcosoYB7FP5Sc']",DDoS,1,0.375,-0.125,Negative
24,1.54e+18,"['froggen', 'ddos']",DDoS,1,0.0,0.0,Neutral
25,1.54e+18,"['3', 'questions', '1', 'want', 'host', 'Angular', 'web', 'app', 'whats', 'benefits', 'gain', 'hosting', 'Vercel', 'compare', 'AWS', 'S3', '2', 'host', 'Digicert', 'SSL', 'EV', 'cert', 'Vercel', 'instead', 'using', 'free', 'SSL', 'cert', '3', 'DDoS', 'Mitigation', 'using', 'AWS', 'advanced', 'shield']",DDoS,1,0.7,0.4,Positive
26,1.54e+18,"['hackers', 'watch', 'ddos', 'cumming', 'u']",DDoS,1,0.0,0.0,Neutral
27,1.54e+18,"['Esineiden', 'internet', 'meille', 'mahdollisuus', 'ja', 'teille', 'ihmispolot', 'uhka', 'IOT', 'DDoS']",DDoS,2,0.0,0.0,Neutral
28,1.54e+18,"['interesting', 'DDOS', 'attack', 'partially', 'crowdsourced', 'telegram', 'channels', 'coordinate', 'special', 'software', 'anyone', 'install', 'take', 'part', 'attacks']",DDoS,2,0.45714285714285713,0.2523809523809524,Positive
29,1.54e+18,"['月野帯人チャンネル', '67', '月野帯人', 'のYouTube', 'ツッキーのチャレンジ企画', '【鬼滅の刃一番くじ】煉獄さん狙いで一番くじ引いたら、まさかの神引き…！！', '鬼滅の刃', '一番くじ', 'httpstcoA1vRJOZELV']",DDoS,2,0.0,0.0,Neutral
30,1.54e+18,"['Volunteer', 'Army', 'Ukraine', 'httpstco4u3gQhzNZR', 'via', 'Cryptosphere', 'Weve', 'got', 'volunteer', 'jobs', 'DDo…']",DDoS,1,0.0,0.0,Neutral
31,1.54e+18,"['Since', 'yesterday', 'started', 'massive', 'DDoS', 'attacks', 'Internet', 'resource', 'accreditation', 'system', 'St…']",DDoS,1,1.0,0.0,Neutral
32,1.54e+18,"['gtgt', 'dont', 'seem', 'actually', 'know', 'much', 'ddos', 'gtgt', 'Thats', 'ok', 'gtgt', 'thinking', 'old', 'ways', 'dont', 'work', 'much', 'anymore', 'RandomThoughts']",DDoS,1,0.24,0.2,Positive
33,1.54e+18,"['using', 'Ukrainian', 'Telegram', 'bot', 'launch', 'DDOS', 'attacks', 'Russia']",DDoS,2,0.0,0.0,Neutral
34,1.54e+18,"['Get', 'latest', 'results', 'Forrester', 'TotalEconomicImpact', 'shows', 'customers', 'deploying', 'Omnis', 'AED', 'protect', 'DDoS', 'attacks', 'achieve', '201', 'ROI', 'improve', 'time', 'detect', 'respond', 'automatic', 'DDoS', 'mitigation', 'httpstcoQgU0fUbO28', 'httpstcouKyb3CjQ8i']",DDoS,2,0.9,0.5,Positive
35,1.54e+18,"['Cloudflare', 'mitigates', 'recordbreaking', 'HTTPS', 'DDoS', 'attack', 'httpstco9lonVGZXho', 'infosec', 'cybersecurity']",DDoS,2,0.0,0.0,Neutral
36,1.54e+18,"['host', 'Minecraft', 'GameServer', 'NukeHost', 'Vorteile', '🔒', 'DDoS', 'Protection', '👨\u200d💻', 'Panel', 'zur', 'Verwaltung', 'inkl', 'Konsole', 'und', 'Dateimanager', '💨…']",DDoS,1,0.0,0.0,Neutral
37,1.54e+18,"['Man', 'gets', 'two', 'years', 'prison', 'selling', '200000', 'DDoS', 'hits', '•', 'Register', 'httpstcowd5iWrENFl', 'infosec', 'cybersecurity']",DDoS,1,0.0,0.0,Neutral
38,1.54e+18,"['doxxing', 'punishable', 'doxxed', 'SPCT', 'Justice', 'DDoS', 'attacks', 'illegal', 'According', 'Federal', 'Computer', 'Fraud', 'Abuse', 'Act', 'unauthorized', 'DDoS', 'attack', 'lead', '10', 'years', 'prison', '500000', 'fine', 'Conspiring', 'lead', '5', 'years', '250000']",DDoS,1,0.5,-0.04166666666666666,Negative
39,1.54e+18,"['cube', 'Putins', 'speech', 'International', 'Economic', 'Forum', 'delayed', '70', 'minutes', 'due', 'DDoS', 'attack', 'wonder', 'happened😂…']",DDoS,1,0.19166666666666665,0.025000000000000005,Positive
40,1.54e+18,"['cube', 'Putins', 'speech', 'International', 'Economic', 'Forum', 'delayed', '70', 'minutes', 'due', 'DDoS', 'attack', 'wonder', 'happened😂…']",DDoS,1,0.19166666666666665,0.025000000000000005,Positive
41,1.54e+18,"['DDoS', 'attacks', 'may', 'decreased', 'prepandemic', 'numbers', 'mean', 'we’re', 'clear', 'Read', 'threat', 'report', 'insight', 'adversaries', 'changing', '—', 'adapting', '—', 'strategies', 'going', '2022', 'NETSCOUTSecurity', 'httpstcoF1rhb7aOJz', 'httpstcoB17uPJzJBs']",DDoS,1,0.5902777777777778,-0.2041666666666667,Negative
42,1.54e+18,"['tldr', '26M', 'rps', 'DDoS', 'attack', 'originated', 'small', 'powerful', 'botnet', '5067', 'devices', 'average', 'node', 'generated', 'approximately', '5200', 'rps', 'peak', 'Via', 'Cloudflare', 'Mitigates', '26', 'million', 'Request', 'Per', 'Second', 'DDoS', 'Attack', 'httpstcoZ3EsUj1AbR']",DDoS,2,0.48,-0.1,Negative
43,1.54e+18,"['33yearold', 'Matthew', 'Gatrel', 'St', 'Charles', 'Illinois', 'ran', 'criminal', 'operation', 'launched', 'Distributed', 'DenialofService', 'DDoS', 'attacks', 'behalf', 'hundreds', 'paying', 'customers', 'via', 'booter', 'site', 'httpstcoHqLRoQKerF', 'infosec', 'CyberSec', 'httpstcovXckAcAgQo']",DDoS,2,0.55,-0.4,Negative
44,1.54e+18,"['⚡️', 'President', 'Russian', 'Federation', 'decided', 'postpone', 'speech', 'plenary', 'session', 'SPIEF', 'hou…']",DDoS,1,0.0,0.0,Neutral
45,1.54e+18,"['cube', 'Putins', 'speech', 'International', 'Economic', 'Forum', 'delayed', '70', 'minutes', 'due', 'DDoS', 'attack', 'wonder', 'happened😂…']",DDoS,1,0.19166666666666665,0.025000000000000005,Positive
46,1.54e+18,"['Cette', 'attaque', 'que', 'Cloudflare', 'pu', 'mitiger', 'avait', 'envoyé', 'plus', 'de', '212', 'millions', 'de', 'requêtes', 'HTTPS', 'en', 'seulement', '30', 'secondes…']",DDoS,1,0.0,0.0,Neutral
47,1.54e+18,"['Putins', 'speech', 'International', 'Economic', 'Forum', 'delayed', '70', 'minutes', 'due', 'DDoS', 'attack', 'wonder', 'happened😂', 'httpstcoQCNdFLtbfT']",DDoS,1,0.19166666666666665,0.025000000000000005,Positive
48,1.54e+18,"['岡正晶', '不法侵入', '万引き', '詐欺', '中卒', 'DDOS攻撃', '革マル', 'サリン', '脱糞', '第一東京弁護士会', '留置場', '幻覚剤', '資金洗浄', '逮捕歴', 'ドラッグ', '変質者', '偽計業務妨害', 'というのはガセなので辞めてください。', 'httpstcodT1HrI35m5']",DDoS,2,0.0,0.0,Neutral
49,1.54e+18,"['Выступление', 'Путина', 'на', 'ПМЭФ', 'началось', 'с', 'более', 'чем', 'полуторачасовым', 'опозданием', '–', 'организаторы', 'объяснили', 'это', 'ddosатакой', 'https…']",DDoS,2,0.0,0.0,Neutral
50,1.54e+18,"['Since', 'yesterday', 'started', 'massive', 'DDoS', 'attacks', 'Internet', 'resource', 'accreditation', 'system', 'St…']",DDoS,1,1.0,0.0,Neutral
51,1.54e+18,"['Cloudflare', 'mitigates', 'recordbreaking', 'HTTPS', 'DDoS', 'attack', 'httpstcocgmELQdSI4']",DDoS,1,0.0,0.0,Neutral
52,1.54e+18,"['Owner', '‘DownThem’', 'DDoS', 'service', 'gets', '2', 'years', 'prison', 'httpstcoQvZgGvf28N']",DDoS,1,0.0,0.0,Neutral
53,1.54e+18,"['⚡️', 'President', 'Russian', 'Federation', 'decided', 'postpone', 'speech', 'plenary', 'session', 'SPIEF', 'hou…']",DDoS,1,0.0,0.0,Neutral
54,1.54e+18,"['news', 'Ну', 'лучше', 'что', 'бы', 'все', 'произошло', 'без', 'перебоевпоэтому', 'мы', 'были', 'готовы', 'к', 'этим', 'ddos', 'атакам']",DDoS,2,0.0,0.0,Neutral
55,1.54e+18,"['3', 'Biggest', 'DDoS', 'Attacks', 'Imperva', 'Mitigated', 'httpstcoToNUlVp8Gr', 'httpstcoB2rAhyDdab']",DDoS,1,0.0,0.0,Neutral
56,1.54e+18,"['Sorry', 'gang', 'entirely', '2', 'much', 'conversation', 'bout', 'KNOW', 'comin', 'next', 'Sista', 'girl', 'goin…']",DDoS,1,0.39999999999999997,-0.09999999999999999,Negative
57,1.54e+18,"['using', 'Ukrainian', 'Telegram', 'bot', 'launch', 'DDOS', 'attacks', 'Russia']",DDoS,2,0.0,0.0,Neutral
58,1.54e+18,"['Выступление', 'Путина', 'на', 'ПМЭФ', 'началось', 'с', 'более', 'чем', 'полуторачасовым', 'опозданием', '–', 'организаторы', 'объяснили', 'это', 'ddosатакой', 'В', 'смысле', 'он', 'упал', 'и', 'его', 'полтора', 'часа', 'не', 'могли', 'поднять', 'httpstcoXVHIFFWM6t']",DDoS,2,0.0,0.0,Neutral
59,1.54e+18,"['STEPN', 'believe', 'DDOS', 'attack', 'something', 'wrong', 'application', 'Many', 'persons', 'didnt', 'got', 'Mystery', 'box', 'run']",DDoS,1,0.7,0.0,Neutral
60,1.54e+18,"['concerned', 'users', 'privacy', 'use', 'cloudflare', 'DDoS']",DDoS,1,0.0,0.0,Neutral
61,1.54e+18,"['Haganle', 'un', 'ataque', 'DDOS', 'al', 'bot', 'httpstcoAsrfc5fjV7']",DDoS,1,0.0,0.0,Neutral
62,1.54e+18,"['🕹️', 'software', 'aims', 'prevent', 'cheating', 'via', 'proprietary', 'anticheat', 'software', 'verify', 'player', 'identities', 'without', 'compromising', 'data', 'provide', 'protection', 'DDoS', 'httpstcofjAOY79vpo']",DDoS,1,0.0,0.0,Neutral
63,1.54e+18,"['⚡️', 'President', 'Russian', 'Federation', 'decided', 'postpone', 'speech', 'plenary', 'session', 'SPIEF', 'hou…']",DDoS,1,0.0,0.0,Neutral
64,1.54e+18,"['Fortnite', 'com', 'kid', 'acts', 'like', 'hard', 'claims', 'friend', 'making', 'ddos', 'panel', 'Xbox😂', 'also', 'cl…']",DDoS,1,0.5416666666666666,-0.2916666666666667,Negative
65,1.54e+18,"['Fortnite', 'com', 'kid', 'acts', 'like', 'hard', 'claims', 'friend', 'making', 'ddos', 'panel', 'Xbox😂', 'also', 'cl…']",DDoS,1,0.5416666666666666,-0.2916666666666667,Negative
66,1.54e+18,"['discussing', 'wartime', 'cyber', 'operations', 'Ukraine', 'including', 'wiper', 'amp', 'DDoS', 'ops', 'amp', 'debating', 'whether', 'rise', 'to…']",DDoS,1,0.0,0.0,Neutral
67,1.54e+18,"['Выступление', 'Путина', 'на', 'ПМЭФ', 'началось', 'с', 'более', 'чем', 'полуторачасовым', 'опозданием', '–', 'организаторы', 'объяснили', 'это', 'ddosатакой', 'https…']",DDoS,2,0.0,0.0,Neutral
68,1.54e+18,"['Reasons', 'messing', 'nation', 'state', 'known', 'poison', 'people', 'organised', 'platform', 'foun…']",DDoS,1,0.0,0.0,Neutral
69,1.54e+18,"['Prior', 'thread', 'Ukraine', 'state', 'managed', 'telegram', 'channel', 'yesterday', 'linking', 'fake', 'hack', 'details', '“Anonymous”', 't…']",DDoS,1,0.5,-0.25,Negative
70,1.54e+18,"['Vice', 'Prime', 'Minister', 'calling', 'upon', 'individuals', 'DDoS', 'hack', 'list', 'Russian', 'organisations', 'Note', 'e…']",DDoS,1,0.0,0.0,Neutral
71,1.54e+18,"['Fortnite', 'com', 'kid', 'acts', 'like', 'hard', 'claims', 'friend', 'making', 'ddos', 'panel', 'Xbox😂', 'also', 'claims', 'harmful', 'koboe777', 'cpiders', 'com', 'ddos', 'httpstcoT2MWP0nB11']",DDoS,1,0.5416666666666666,-0.2916666666666667,Negative
72,1.54e+18,"['got', 'tired', 'ddos', 'useless', 'also', 'ddos', 'certain', 'time', 'mitigated']",DDoS,1,0.49047619047619045,-0.22857142857142856,Negative
73,1.54e+18,"['Protecting', 'business', 'quickhitting', 'multivector', 'DDoS', 'attacks', 'requires', 'strategy', 'built', 'match', 'Find', 'prote…']",DDoS,1,0.0,0.0,Neutral
74,1.54e+18,"['Protecting', 'business', 'quickhitting', 'multivector', 'DDoS', 'attacks', 'requires', 'strategy', 'built', 'match', 'Find', 'prote…']",DDoS,1,0.0,0.0,Neutral
75,1.54e+18,"['Protecting', 'business', 'quickhitting', 'multivector', 'DDoS', 'attacks', 'requires', 'strategy', 'built', 'match', 'Find', 'protect', 'network', 'services', 'customers', 'httpstco6wSvJd7pR6', 'httpstcoQ7bpWWVEcB']",DDoS,1,0.0,0.0,Neutral
76,1.54e+18,"['I’m', 'curious', 'real', 'world', 'ddos', 'guess', 'large', 'majority', 'reflective', 'udp', 'tcp', 'zombies', 'cast', 'edge', 'sinkholing', 'traffic', 'known', 'heuristics', 'via', 'user', 'configured', 'rule', 'Continues', 'HN', 'httpstcofOQSq6Kv6Y']",DDoS,1,0.5761904761904763,0.09476190476190476,Positive
77,1.54e+18,"['nextdoor', 'Thank', 'saying', 'feel', 'feel', 'like', 'DDOS', 'failed', 'know', 'NEED', 'RF', 'DDOS', 'refuse', 'WORK', 'amp', 'rather', 'apologizing', 'publicly', 'holding', 'RF', 'hostage', 'ransom', 'coming', 'back', 'terms']",DDoS,1,0.12222222222222222,-0.16666666666666666,Negative
78,1.54e+18,"['Cybersecurity', 'experts', 'say', 'recent', 'recordsetting', 'distributed', 'denialofservice', 'attack', 'peaked', '26', 'million', 'requests', 'per', 'second', 'used', 'new', 'approach', 'involving', 'network', '5000', 'devices', 'httpstcoLhJs4IYaH6']",DDoS,1,0.23484848484848486,0.04545454545454545,Positive
79,1.54e+18,"['accurately', 'determine', 'risk', 'DDoS', 'attack', 'need', 'know', 'latest', 'trends', 'best', 'defense', 'practices', 'Learn', 'improve', 'security', 'questioning', 'current', 'assumptions', 'NetworkSecurity', 'NETSCOUTSecurity']",DDoS,1,0.5583333333333333,0.47500000000000003,Positive
80,1.54e+18,"['news', '❗️Massive', 'ddosattacks', 'Internet', 'resources', 'accreditation', 'system', 'began', 'June', '16', 'Russians', 'able', 'to…']",DDoS,1,0.625,0.5,Positive
81,1.54e+18,"['news', '👥Ddos', 'distributed', 'denial', 'service', 'attacks', 'partially', 'disrupted', 'Putin', 'speech', 'St', 'Petersburg', 'International', 'Econom…']",DDoS,1,0.15,-0.05,Negative
82,1.54e+18,"['protect', 'website', 'DDoSrelated', 'negative', 'SEO', 'upgrading', 'hosting', 'service', 'Read', 'full', 'article', 'Negative', 'SEO', 'Separating', 'Facts', 'Fiction', '▸', 'httpstcoa5DgEH995u', 'seo', 'LoriBallen', 'ContentMarketing', 'UrlInspectionTool']",DDoS,1,0.45,-0.08333333333333333,Negative
83,1.54e+18,"['【歴史】え、まじで蘭丸一派ってこんな事するだけ？', '回線特定するとかDdos撃つとか連携してパス抜いてくるとかじゃなくて', 'ただリプを送って良くわからないツッコミをして帰っていくだけ？', '何がやばいの']",DDoS,2,0.0,0.0,Neutral
84,1.54e+18,"['antivirus', '…']",DDoS,1,0.0,0.0,Neutral
85,1.54e+18,"['antivirus', '…']",DDoS,1,0.0,0.0,Neutral
86,1.54e+18,"['os', 'correios', 'chegam', 'achar', 'que', 'estão', 'sofrendo', 'um', 'ataque', 'ddos', 'de', 'eu', 'tanto', 'checar', 'onde', 'tá', 'negócio']",DDoS,2,0.0,0.0,Neutral
87,1.54e+18,"['Выступление', 'Путина', 'на', 'ПМЭФ', 'началось', 'с', 'более', 'чем', 'полуторачасовым', 'опозданием', '–', 'организаторы', 'объяснили', 'это', 'ddosатакой', 'https…']",DDoS,1,0.0,0.0,Neutral
88,1.54e+18,"['antivirus', '…']",DDoS,1,0.0,0.0,Neutral
89,1.54e+18,"['Cloudflare', 'says', 'mitigated', '26M', 'requests', 'per', 'second', 'DDoS', 'attack', 'largest', 'HTTPS', 'DDoS', 'attack', 'detected', 'date', 'surpassin…']",DDoS,1,0.0,0.0,Neutral
90,1.54e+18,"['La', 'plus', 'grosse', 'attaque', 'DDoS', 'de', 'tous', 'les', 'temps', 'nécessité', 'un', 'nombre', 'ridicule', 'de', 'botnets', 'httpstconSlh8qVq2d']",DDoS,1,0.0,0.0,Neutral
91,1.54e+18,"['comes', 'DDOS', 'KNOW', 'KNOW', 'understand', 'don’t', 'ACCEPT', 'Need', 'WANT']",DDoS,1,0.0,0.0,Neutral
92,1.54e+18,"['Since', 'yesterday', 'started', 'massive', 'DDoS', 'attacks', 'Internet', 'resource', 'accreditation', 'system', 'St…']",DDoS,2,1.0,0.0,Neutral
93,1.54e+18,"['ITArmyUkraine', 'confirmed', 'responsible', '4', 'DDoS', 'attack', 'delayed', 'Putin', 'speech', 'St', 'Pe…']",DDoS,1,0.775,0.30000000000000004,Positive
94,1.54e+18,"['get', 'DDos', 'still', 'date', 'Im', 'unsure', 'miss', 'old', 'days', 'chappy', 'graphics', 'etc', 'old', 'gaming', 'days', 'httpstcor0fnALtsG1']",DDoS,1,0.2,0.1,Positive
95,1.54e+18,"['using', 'Ukrainian', 'Telegram', 'bot', 'launch', 'DDOS', 'attacks', 'Russia']",DDoS,2,0.0,0.0,Neutral
96,1.54e+18,"['Roy33', 'Bijvoorbeeld', 'een', 'server', 'van', 'een', 'bank', 'die', 'door', 'decentralisatie', 'niet', 'langer', 'gevoelig', 'voor', 'ddos', 'aanvallen', 'Een', 'notariële', 'transactie', 'die', 'zwart', 'wit', 'en', 'transparant', 'wordt', 'vastgelegd', 'Etc', 'etc']",DDoS,2,0.0,0.0,Neutral
97,1.54e+18,"['ITArmyUkraine', 'confirmed', 'responsible', '4', 'DDoS', 'attack', 'delayed', 'Putin', 'speech', 'St', 'Pe…']",DDoS,1,0.775,0.30000000000000004,Positive
98,1.54e+18,"['Los', 'hackers', 'suelen', 'acceder', 'las', 'redes', 'hospitalarias', 'por', 'medio', 'de', 'phishing', 'para', 'robar', 'las', 'credenciales', 'de', 'usuarios', 'poco', 'precavidos', 'TICSalud', 'httpstco3EtKNTzSda', 'httpstcoD6NthdL27M']",DDoS,2,0.0,0.0,Neutral
99,1.54e+18,"['En', 'dehors', 'de', 'la', 'toxicité', 'qui', 'est', 'dans', 'le', 'jeu', 'c', 'un', 'tres', 'bon', 'jeu', 'et', 'tu', 'te', 'fais', 'pas', 'ddos', 'leak', 'pas', 'ton', 'ip', 'la', 'bas']",DDoS,2,1.0,0.5,Positive
100,1.54e+18,['trojanhorse'],Trojanhorse,1,0.0,0.0,Neutral
101,1.54e+18,"['lzg', 'Yes', 'must', 'garbage', 'produced', 'stated', 'problem', 'Randy', 'Weaver', 'believed', 'things', 'education', 'system', 'taught', 'reason', 'enough', 'red', 'flag', 'education', 'system', 'problem', 'Nothing', 'believed', 'harmful', 'others']",Trojanhorse,1,0.25,0.0,Neutral
102,1.54e+18,"['lzg', 'dog', 'resisted', 'arrest', 'either', 'talking', 'you’re', 'really', 'smart']",Trojanhorse,1,0.280952380952381,0.02142857142857142,Positive
103,1.54e+18,"['job', 'make', 'hero', 'voted', 'rTrump', '90', 'time', 'Fell', 'favor', 'fighting', 'hero', 'Cheney', 'don’t', 'work', '“the', 'country”', 'Beware', 'TrojanHorse', 'January6thCommitteeHearings']",Trojanhorse,1,0.0,0.0,Neutral
104,1.54e+18,"['lzg', 'Please', 'send', 'cops', 'house']",Trojanhorse,1,0.0,0.0,Neutral
105,1.54e+18,"['Im', 'sure', 'wont', 'used', 'silence', 'voices', 'people', 'critical', 'administration', 'just…']",Trojanhorse,1,0.8444444444444444,0.25,Positive
106,1.54e+18,"['Agree', 'he’s', 'trojanhorse', 'httpstcor8VheysJFZ']",Trojanhorse,1,0.0,0.0,Neutral
107,1.54e+18,"['lzg', 'Lol', 'good', 'luck', 'getting']",Trojanhorse,1,0.65,0.75,Positive
108,1.54e+18,"['lzg', 'theres', 'many', 'aint', 'grabbed']",Trojanhorse,1,0.5,0.5,Positive
109,1.54e+18,"['deli', 'mean', 'also', 'keep', 'writing', 'Byron', 'Browns', 'WFP', 'TrojanHorse', 'candidates', 'like', 'India', 'Walton', 'take', 'advantage', 'sloppy', 'primary', 'process', 'thats', 'going', 'wear', 'even', 'committed', 'antifascists']",Trojanhorse,1,0.5452777777777778,0.003055555555555545,Positive
110,1.54e+18,"['lzg', 'Fuck', 'legality', '3d', 'printer', 'go', 'brrrr']",Trojanhorse,1,0.6,-0.4,Negative
111,1.54e+18,"['lzg', 'come', 'take', 'em', 'youd', 'like']",Trojanhorse,1,0.0,0.0,Neutral
112,1.54e+18,"['lzg', 'Fed', 'boot', 'licker']",Trojanhorse,1,0.0,0.0,Neutral
113,1.54e+18,"['lzg', 'Fuck', 'police', 'aint', 'thin', 'blue', 'line', 'hack']",Trojanhorse,1,0.5166666666666667,-0.06666666666666667,Negative
114,1.54e+18,"['lzg', 'Living', 'cabin', 'progun', 'aint', 'mental', 'illness', 'things']",Trojanhorse,1,0.2,-0.1,Negative
115,1.54e+18,"['lzg', 'issue', 'black', 'people', 'fuck', 'FBI', 'alphabet', 'gangs']",Trojanhorse,1,0.4694444444444444,-0.23055555555555554,Negative
116,1.54e+18,"['lzg', 'Moving', 'cabin', 'woods', 'teaching', 'kids', 'guns', 'aint', 'abuse']",Trojanhorse,1,0.0,0.0,Neutral
117,1.54e+18,"['lzg', 'wonder', 'stormed', 'place', 'killed', 'family', 'dog', '🤔', 'oh', 'well', 'mystery', 'mustve', 'hes', 'nut', 'nothing', 'see']",Trojanhorse,1,0.0,-0.25,Negative
118,1.54e+18,"['lzg', 'HES', 'LEAVING', 'LIVE', 'WOODS', 'HES', 'DANGER', 'SOCIETY', 'GO', 'GET', '😭😭😭']",Trojanhorse,1,0.5,0.26633522727272724,Positive
